ID;Date;Title;French Title;URL (page or PDF);French URL;Spanish URL;Summary (optional);French Summary;Spanish Summary;Attachments URL (optional, if in addition to main text);;;;;;;;;;;;;;;
2;28.01.2011;UNEP/CMS Thesis Award - Last Call for Applications!;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_280111_CMS_Thesis_Award.htm;;;;;;;;;;;;;;;;;;;;;
3;24.01.2011;Chair of Friends of CMS Receives Environment Prize;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_hannes_evironment_award.htm;;;;;;;;;;;;;;;;;;;;;
4;18.01.2011;CMS-supported NGO Cracks Down on Poaching in Gabon;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_ngo_crime_crackdown.htm;;;;;;;;;;;;;;;;;;;;;
5;20.01.2011;New CMS Publication on Action Plan for Spoon-billed Sandpiper;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_ts23_spoon_billed_sandpiper.htm;;;;;;;;;;;;;;;;;;;;;
6;14.01.2011;United Nations Declare UN-Decade for Biodiversity 2011 - 2020;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_UN_decade_biodiversity.htm;;;;;;;;;;;;;;;;;;;;;
7;26.01.2011;Rangers Killed in Congo's Virunga National Park;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_virunga_attack.htm;;;;;;;;;;;;;;;;;;;;;
8;17.01.2011;Wings of Wetlands Project Successfully Concluded;;http://old.cms.int/news/PRESS/nwPR2011/01_jan/nw_WOW_170111.htm;;;;;;;;;;;;;;;;;;;;;
9;9.02.2011;Intersessional Working Group on Future Shape of CMS Elaborates Options for COP10;;http://old.cms.int/news/PRESS/nwPR2011/02_feb/nw_090211_3rdMeeting_future_shape.htm;;;;;;;;;;;;;;;;;;;;;
10;10.02.2011;Rolex Awards Invite Applicants with Innovative Conservation Projects;;http://old.cms.int/news/PRESS/nwPR2011/02_feb/nw_100211_rolex.htm;;;;;;;;;;;;;;;;;;;;;
11;16.02.2011;New Hope for the South Andean Huemul in Patagonia;;http://old.cms.int/news/PRESS/nwPR2011/02_feb/nw_160211_South_Andean_Huemul.htm;;;;;;;;;;;;;;;;;;;;;
12;25.02.2011;CMS Flyways Working Group Meets in Scotland;;http://old.cms.int/news/PRESS/nwPR2011/02_feb/nw_250211_flyways_wg.htm;;;;;;;;;;;;;;;;;;;;;
13;2.02.2011;World Wetlands Day;;http://old.cms.int/news/PRESS/nwPR2011/02_feb/nw_world_wetlands_day.htm;;;;;;;;;;;;;;;;;;;;;
14;4.03.2011;CITES and CMS Secretariats Hold First Virtual Meeting to Map Out Future Collaboration;;http://old.cms.int/news/PRESS/nwPR2011/03_mar/nw_040311_cms_cites_summit.htm;;;;;;;;;;;;;;;;;;;;;
15;4.03.2011;WWF Announces 5th International Smart Gear Competition;;http://old.cms.int/news/PRESS/nwPR2011/03_mar/nw_040311_smartgear.htm;;;;;;;;;;;;;;;;;;;;;
16;17.03.2011;Australia Signs CMS Shark Agreement;;http://old.cms.int/news/PRESS/nwPR2011/03_mar/nw_170311_Australia_Shark_moU.htm;;;;;;;;;;;;;;;;;;;;;
17;21.03.2011;Italy Promotes CMS: Italian Migration Atlas Now Freely Available Online;;http://old.cms.int/news/PRESS/nwPR2011/03_mar/nw_180311_Italian_migration_atlas.htm;;;;;;;;;;;;;;;;;;;;;
18;18.04.2011;Mozambique signs the UNEP/CMS Dugong MOU;;http://old.cms.int/news/PRESS/nwPR2011/04_apr/nw_180411_mozambique_dugong.htm;;;;;;;;;;;;;;;;;;;;;
19;6.05.2011;Chile Signs Sharks MOU;;http://old.cms.int/news/PRESS/nwPR2011/05_may/nw_090511_chile_sharks.htm;;;;;;;;;;;;;;;;;;;;;
20;11.05.2011;Positive Response to UNEP/CMS Thesis Award 2011;;http://old.cms.int/news/PRESS/nwPR2011/05_may/nw_110511_Thesis_award.htm;;;;;;;;;;;;;;;;;;;;;
21;12.05.2011;South Africa Signs Sharks MOU;;http://old.cms.int/news/PRESS/nwPR2011/05_may/nw_120511_south_africa_sharks.htm;;;;;;;;;;;;;;;;;;;;;
22;18.05.2011;More valuable alive than dead: Shark tourism is far more profitable than shark meat;;http://old.cms.int/news/PRESS/nwPR2011/05_may/nw_180511_Study_reef_sharks.htm;;;;;;;;;;;;;;;;;;;;;
23;14.06.2011;Launch of InforMEA – the United Nations Information Portal on Multilateral Environmental Agreements (MEAs);;http://old.cms.int/news/PRESS/nwPR2011/06_jun/nw_140611_informea.htm;;;;;;;;;;;;;;;;;;;;;
24;16.06.2011;CMS Backs Mission to Save Spoon-billed Sandpiper;;http://old.cms.int/news/PRESS/nwPR2011/06_jun/nw_160611_sandpiper.htm;;;;;;;;;;;;;;;;;;;;;
25;16.06.2011;Workshop Recommends Roadmap for Climate Change Action;;http://old.cms.int/news/PRESS/nwPR2011/06_jun/nw_160611_tourduvalat.htm;;;;;;;;;;;;;;;;;;;;;
26;27.06.2011;Census of Marine Life;;http://old.cms.int/news/PRESS/nwPR2011/06_jun/nw_270611_census_marine_life.htm;;;;;;;;;;;;;;;;;;;;;
27;30.06.2011;Thailand - the 20th Signatory to UNEP/CMS Dugong MOU;;http://old.cms.int/news/PRESS/nwPR2011/06_jun/nw_30611_thailand_signs_dugong_mou.htm;;;;;;;;;;;;;;;;;;;;;
28;27.07.2011;Durrell Endangered Species Management Graduate Certificate;;http://old.cms.int/news/PRESS/nwPR2011/07_jul/nw_270711_durrell.htm;;;;;;;;;;;;;;;;;;;;;
29;9.08.2011;Launch of the Pacific Cetaceans MoU Diversity Database;Lancement de la Base de données sur la biodiversité pour le MOU des cétacées du Pacifique;http://old.cms.int/news/PRESS/nwPR2011/08_aug/nw_090811_pacific_database.htm;http://old.cms.int/news/PRESS/nwPR2011/08_aug/nw_090811_pacific_database_f.htm;;;;;;;;;;;;;;;;;;;;
30;2.09.2011;ACAP Working Groups Review Bycatch, Status and Trends of Albatrosses and Petrels;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_020911_acap.htm;;;;;;;;;;;;;;;;;;;;;
31;2.09.2011;New Agreement Governs the Relationship between the IUCN Environmental Law Centre and the CMS Family;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_020911_IUCN_CMS.htm;;;;;;;;;;;;;;;;;;;;;
32;3.09.2011;UNEP Executive Director Achim Steiner Visits CMS Family in Bonn;;http://old.cms.int/news/PRESS/nwPR2011/09_sep/nw_030911_ed_visits_bonn.htm;;;;;;;;;;;;;;;;;;;;;
